,internal_n,sample,species,sequenced,barcode,resequenced,rebarcode,illumina_file,nanopore_file,nanopore_file_resequenced
16,18,400266,Kleb,20180110,3,,,400266-13_S1_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC03.fastq.gz,
17,18,400266,Kleb,20180110,3,,,400266-13_S1_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC03.fastq.gz,
18,19,401717,Kleb,20180110,4,20180420,4.0,401717-13_S9_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC04.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC04.fastq.gz
19,19,401717,Kleb,20180110,4,20180420,4.0,401717-13_S9_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC04.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC04.fastq.gz
20,21,402894,Kleb,20180110,5,,,402894-13_S14_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC05.fastq.gz,
21,21,402894,Kleb,20180110,5,,,402894-13_S14_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC05.fastq.gz,
22,23,401508,Kleb,20180123,9,20180215,1.0,401508-14_S4_L001_R1_001_val_1.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC09.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC01.fastq.gz
23,23,401508,Kleb,20180123,9,20180215,1.0,401508-14_S4_L001_R2_001_val_2.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC09.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC01.fastq.gz
24,24,401608,Kleb,20180110,6,,,401608-14_S10_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC06.fastq.gz,
25,24,401608,Kleb,20180110,6,,,401608-14_S10_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC06.fastq.gz,
26,25,401801,Kleb,20180123,10,,,401801-14_S11_L001_R1_001_val_1.fq.gz,,
27,25,401801,Kleb,20180123,10,,,401801-14_S11_L001_R2_001_val_2.fq.gz,,
28,26,804135,Kleb,20180110,7,,,804135-14_S12_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC07.fastq.gz,
29,26,804135,Kleb,20180110,7,,,804135-14_S12_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC07.fastq.gz,
30,27,403161,Kleb,20180123,11,20180215,2.0,403161_S30_L001_R1_001_val_1.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC11.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC02.fastq.gz
31,27,403161,Kleb,20180123,11,20180215,2.0,403161_S30_L001_R2_001_val_2.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC11.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC02.fastq.gz
32,28,403669,Kleb,20180123,12,20180215,3.0,403669-15_S41_L001_R1_001_val_1.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC12.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC03.fastq.gz
33,28,403669,Kleb,20180123,12,20180215,3.0,403669-15_S41_L001_R2_001_val_2.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC12.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC03.fastq.gz
34,29,403850,Kleb,20180108,1,,,403850-15_S42_L001_R1_001_val_1.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC01.fastq.gz,
35,29,403850,Kleb,20180108,1,,,403850-15_S42_L001_R2_001_val_2.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC01.fastq.gz,
36,30,404197,Kleb,20180108,2,20180420,6.0,404197-15_S44_L001_R1_001_val_1.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC02.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC06.fastq.gz
37,30,404197,Kleb,20180108,2,20180420,6.0,404197-15_S44_L001_R2_001_val_2.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC02.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC06.fastq.gz
38,36,403773,Kleb,20180108,11,20180420,7.0,403773-16_S1_L001_R1_001_val_1.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC11.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC07.fastq.gz
39,36,403773,Kleb,20180108,11,20180420,7.0,403773-16_S1_L001_R2_001_val_2.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC11.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC07.fastq.gz
40,37,403774,Kleb,20180108,12,20180420,8.0,403774-16_S2_L001_R1_001_val_1.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC12.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC08.fastq.gz
41,37,403774,Kleb,20180108,12,20180420,8.0,403774-16_S2_L001_R2_001_val_2.fq.gz,nanopore/20180108_Carbapenemases/porechop/BC12.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC08.fastq.gz
42,38,403869,Kleb,20180110,8,20180420,9.0,403869-16_S4_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC08.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC09.fastq.gz
43,38,403869,Kleb,20180110,8,20180420,9.0,403869-16_S4_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC08.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC09.fastq.gz
44,39,404431,Kleb,20180118,1,20180215,4.0,404431-16_S6_L001_R1_001_val_1.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC01.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC04.fastq.gz
45,39,404431,Kleb,20180118,1,20180215,4.0,404431-16_S6_L001_R2_001_val_2.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC01.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC04.fastq.gz
46,40,404556,Kleb,20180118,2,20180420,10.0,404556-16_S7_L001_R1_001_val_1.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC02.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC10.fastq.gz
47,40,404556,Kleb,20180118,2,20180420,10.0,404556-16_S7_L001_R2_001_val_2.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC02.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC10.fastq.gz
48,42,808927,Kleb,20180118,4,20180420,12.0,808927-4-16_S21_L001_R1_001_val_1.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC04.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC12.fastq.gz
49,42,808927,Kleb,20180118,4,20180420,12.0,808927-4-16_S21_L001_R2_001_val_2.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC04.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC12.fastq.gz
50,44,401084,Kleb,20180118,6,,,401084-17_S24_L001_R1_001_val_1.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC06.fastq.gz,
51,44,401084,Kleb,20180118,6,,,401084-17_S24_L001_R2_001_val_2.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC06.fastq.gz,
52,46,713220,Kleb,20180118,8,20180215,6.0,713220-4-17_S11_L001_R1_001_val_1.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC08.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC06.fastq.gz
53,46,713220,Kleb,20180118,8,20180215,6.0,713220-4-17_S11_L001_R2_001_val_2.fq.gz,nanopore/20180118_Carbapenemases/porechop/BC08.fastq.gz,nanopore/20180215_Carbapenemases/porechop/BC06.fastq.gz
54,53,303987,Kleb,20180126,0,,,303987_S21_L001_R1_001_val_1.fq.gz,,
55,53,303987,Kleb,20180126,0,,,303987_S21_L001_R2_001_val_2.fq.gz,,
